end_date,friday,monday,saturday,service_id,start_date,sunday,thursday,tuesday,wednesday
20260106,1,1,0,101011152,20250606,0,1,1,1
20260106,1,1,0,101011219,20250606,0,1,1,1
20260106,1,1,0,101011246,20250606,0,1,1,1
20260106,1,1,0,101011313,20250606,0,1,1,1
20260106,1,1,0,101011340,20250606,0,1,1,1
20260106,1,1,0,101011407,20250606,0,1,1,1
20260106,1,1,0,101011434,20250606,0,1,1,1
20260106,1,1,0,101011501,20250606,0,1,1,1
20260106,1,1,0,101011528,20250606,0,1,1,1
20260106,1,1,0,101011555,20250606,0,1,1,1
20260106,1,1,0,101011622,20250606,0,1,1,1
20260106,1,1,0,101011649,20250606,0,1,1,1
20260106,1,1,0,101011716,20250606,0,1,1,1
20260106,1,1,0,101011743,20250606,0,1,1,1
20260106,1,1,0,101011810,20250606,0,1,1,1
20260106,1,1,0,101011837,20250606,0,1,1,1
20260106,1,1,0,101011904,20250606,0,1,1,1
20260106,1,1,0,101011931,20250606,0,1,1,1
20260106,1,1,0,101011958,20250606,0,1,1,1
20260106,1,1,0,101012025,20250606,0,1,1,1
20260106,1,1,0,101012052,20250606,0,1,1,1
20260106,1,1,0,101012119,20250606,0,1,1,1
20260106,1,1,0,101012145,20250606,0,1,1,1
20260106,1,1,0,101012210,20250606,0,1,1,1
20260106,1,1,0,101012235,20250606,0,1,1,1
20260106,0,0,1,101020725,20250606,0,0,0,0
20260106,0,0,1,101020750,20250606,0,0,0,0
20260106,0,0,1,101020815,20250606,0,0,0,0
20260106,0,0,1,101020840,20250606,0,0,0,0
20260106,0,0,1,101020905,20250606,0,0,0,0
20260106,0,0,1,101020930,20250606,0,0,0,0
20260106,0,0,1,101020955,20250606,0,0,0,0
20260106,0,0,1,101021020,20250606,0,0,0,0
20260106,0,0,1,101021045,20250606,0,0,0,0
20260106,0,0,1,101021110,20250606,0,0,0,0
20260106,0,0,1,101021135,20250606,0,0,0,0
20260106,0,0,1,101021200,20250606,0,0,0,0
20260106,0,0,1,101021225,20250606,0,0,0,0
20260106,0,0,1,101021250,20250606,0,0,0,0
20260106,0,0,1,101021315,20250606,0,0,0,0
20260106,0,0,1,101021340,20250606,0,0,0,0
20260106,0,0,1,101021405,20250606,0,0,0,0
20260106,0,0,1,101021430,20250606,0,0,0,0
20260106,0,0,1,101021455,20250606,0,0,0,0
20260106,0,0,1,101021520,20250606,0,0,0,0
20260106,0,0,1,101021545,20250606,0,0,0,0
20260106,0,0,1,101021610,20250606,0,0,0,0
20260106,0,0,1,101021635,20250606,0,0,0,0
20260106,0,0,1,101021700,20250606,0,0,0,0
20260106,0,0,1,101021725,20250606,0,0,0,0
20260106,0,0,1,101021750,20250606,0,0,0,0
20260106,0,0,1,101021815,20250606,0,0,0,0
20260106,0,0,1,101021840,20250606,0,0,0,0
20260106,0,0,1,101021905,20250606,0,0,0,0
20260106,0,0,1,101021930,20250606,0,0,0,0
20260106,0,0,1,101021955,20250606,0,0,0,0
20260106,0,0,1,101022020,20250606,0,0,0,0
20260106,0,0,1,101022045,20250606,0,0,0,0
20260106,0,0,1,101022110,20250606,0,0,0,0
20260106,0,0,1,101022135,20250606,0,0,0,0
20260106,0,0,1,101022155,20250606,0,0,0,0
20260106,0,0,1,101022220,20250606,0,0,0,0
20260106,0,0,1,101022240,20250606,0,0,0,0
20260106,0,0,1,101022300,20250606,0,0,0,0
20260106,0,0,0,101030735,20250606,1,0,0,0
20260106,0,0,0,101030750,20250606,1,0,0,0
20260106,0,0,0,101030810,20250606,1,0,0,0
20260106,0,0,0,101030830,20250606,1,0,0,0
20260106,0,0,0,101030850,20250606,1,0,0,0
20260106,0,0,0,101030910,20250606,1,0,0,0
20260106,0,0,0,101030930,20250606,1,0,0,0
20260106,0,0,0,101030950,20250606,1,0,0,0
20260106,0,0,0,101031010,20250606,1,0,0,0
20260106,0,0,0,101031030,20250606,1,0,0,0
20260106,0,0,0,101031055,20250606,1,0,0,0
20260106,0,0,0,101031120,20250606,1,0,0,0
20260106,0,0,0,101031145,20250606,1,0,0,0
20260106,0,0,0,101031210,20250606,1,0,0,0
20260106,0,0,0,101031235,20250606,1,0,0,0
20260106,0,0,0,101031300,20250606,1,0,0,0
20260106,0,0,0,101031325,20250606,1,0,0,0
20260106,0,0,0,101031350,20250606,1,0,0,0
20260106,0,0,0,101031415,20250606,1,0,0,0
20260106,0,0,0,101031440,20250606,1,0,0,0
20260106,0,0,0,101031505,20250606,1,0,0,0
20260106,0,0,0,101031530,20250606,1,0,0,0
20260106,0,0,0,101031555,20250606,1,0,0,0
20260106,0,0,0,101031620,20250606,1,0,0,0
20260106,0,0,0,101031645,20250606,1,0,0,0
20260106,0,0,0,101031710,20250606,1,0,0,0
20260106,0,0,0,101031735,20250606,1,0,0,0
20260106,0,0,0,101031800,20250606,1,0,0,0
20260106,0,0,0,101031825,20250606,1,0,0,0
20260106,0,0,0,101031850,20250606,1,0,0,0
20260106,0,0,0,101031915,20250606,1,0,0,0
20260106,0,0,0,101031940,20250606,1,0,0,0
20260106,0,0,0,101032005,20250606,1,0,0,0
20260106,0,0,0,101032030,20250606,1,0,0,0
20260106,0,0,0,101032055,20250606,1,0,0,0
20260106,0,0,0,101032120,20250606,1,0,0,0
20260106,0,0,0,101032145,20250606,1,0,0,0
20260106,0,0,0,101032210,20250606,1,0,0,0
20260106,0,0,0,101032235,20250606,1,0,0,0
20260106,1,1,0,102010744,20250606,0,1,1,1
20260106,1,1,0,102010807,20250606,0,1,1,1
20260106,1,1,0,102010834,20250606,0,1,1,1
20260106,1,1,0,102010901,20250606,0,1,1,1
20260106,1,1,0,102010928,20250606,0,1,1,1
20260106,1,1,0,102010955,20250606,0,1,1,1
20260106,1,1,0,102011022,20250606,0,1,1,1
20260106,1,1,0,102011049,20250606,0,1,1,1
20260106,1,1,0,102011116,20250606,0,1,1,1
20260106,1,1,0,102011143,20250606,0,1,1,1
20260106,1,1,0,102011210,20250606,0,1,1,1
20260106,1,1,0,102011237,20250606,0,1,1,1
20260106,1,1,0,102011304,20250606,0,1,1,1
20260106,1,1,0,102011331,20250606,0,1,1,1
20260106,1,1,0,102011358,20250606,0,1,1,1
20260106,1,1,0,102011425,20250606,0,1,1,1
20260106,1,1,0,102011452,20250606,0,1,1,1
20260106,1,1,0,102011519,20250606,0,1,1,1
20260106,1,1,0,102011546,20250606,0,1,1,1
20260106,1,1,0,102011613,20250606,0,1,1,1
20260106,1,1,0,102011640,20250606,0,1,1,1
20260106,1,1,0,102011707,20250606,0,1,1,1
20260106,1,1,0,102011734,20250606,0,1,1,1
20260106,1,1,0,102011801,20250606,0,1,1,1
20260106,1,1,0,102011828,20250606,0,1,1,1
20260106,1,1,0,102011855,20250606,0,1,1,1
20260106,1,1,0,102011922,20250606,0,1,1,1
20260106,1,1,0,102011949,20250606,0,1,1,1
20260106,1,1,0,102012016,20250606,0,1,1,1
20260106,1,1,0,102012043,20250606,0,1,1,1
20260106,1,1,0,102012110,20250606,0,1,1,1
20260106,1,1,0,102012137,20250606,0,1,1,1
20260106,1,1,0,102012205,20250606,0,1,1,1
20260106,1,1,0,102012232,20250606,0,1,1,1
20260106,1,1,0,102012300,20250606,0,1,1,1
20260106,1,1,0,200010802,20250606,0,1,1,1
20260106,1,1,0,200010833,20250606,0,1,1,1
20260106,1,1,0,200010900,20250606,0,1,1,1
20260106,1,1,0,200010933,20250606,0,1,1,1
20260106,1,1,0,200011000,20250606,0,1,1,1
20260106,1,1,0,200011033,20250606,0,1,1,1
20260106,1,1,0,200011100,20250606,0,1,1,1
20260106,1,1,0,200011133,20250606,0,1,1,1
20260106,1,1,0,200011200,20250606,0,1,1,1
20260106,1,1,0,200011233,20250606,0,1,1,1
20260106,1,1,0,200011300,20250606,0,1,1,1
20260106,1,1,0,200011333,20250606,0,1,1,1
20260106,1,1,0,200011400,20250606,0,1,1,1
20260106,1,1,0,200011433,20250606,0,1,1,1
20260106,1,1,0,200011500,20250606,0,1,1,1
20260106,1,1,0,200011533,20250606,0,1,1,1
20260106,1,1,0,200011600,20250606,0,1,1,1
20260106,1,1,0,200011633,20250606,0,1,1,1
20260106,1,1,0,200011700,20250606,0,1,1,1
20260106,1,1,0,200011733,20250606,0,1,1,1
20260106,1,1,0,200011800,20250606,0,1,1,1
20260106,1,1,0,200011833,20250606,0,1,1,1
20260106,1,1,0,200011900,20250606,0,1,1,1
20260106,1,1,0,200011933,20250606,0,1,1,1
20260106,1,1,0,200011958,20250606,0,1,1,1
20260106,1,1,0,200012025,20250606,0,1,1,1
20260106,1,1,0,200012050,20250606,0,1,1,1
20260106,1,1,0,200012115,20250606,0,1,1,1
20260106,1,1,0,200012140,20250606,0,1,1,1
20260106,1,1,0,200012202,20250606,0,1,1,1
20260106,1,1,0,200012228,20250606,0,1,1,1
20260106,1,1,0,200012252,20250606,0,1,1,1
20260106,1,1,0,200012315,20250606,0,1,1,1
20260106,0,0,1,200020802,20250606,0,0,0,0
20260106,0,0,1,200020828,20250606,0,0,0,0
20260106,0,0,1,200020852,20250606,0,0,0,0
20260106,0,0,1,200020920,20250606,0,0,0,0
20260106,0,0,1,200020944,20250606,0,0,0,0
20260106,0,0,1,200021012,20250606,0,0,0,0
20260106,0,0,1,200021036,20250606,0,0,0,0
20260106,0,0,1,200021104,20250606,0,0,0,0
20260106,0,0,1,200021128,20250606,0,0,0,0
20260106,0,0,1,200021156,20250606,0,0,0,0
20260106,0,0,1,200021220,20250606,0,0,0,0
20260106,0,0,1,200021248,20250606,0,0,0,0
20260106,0,0,1,200021312,20250606,0,0,0,0
20260106,0,0,1,200021340,20250606,0,0,0,0
20260106,0,0,1,200021404,20250606,0,0,0,0
20260106,0,0,1,200021432,20250606,0,0,0,0
20260106,0,0,1,200021456,20250606,0,0,0,0
20260106,0,0,1,200021524,20250606,0,0,0,0
20260106,0,0,1,200021548,20250606,0,0,0,0
20260106,0,0,1,200021616,20250606,0,0,0,0
20260106,0,0,1,200021640,20250606,0,0,0,0
20260106,0,0,1,200021708,20250606,0,0,0,0
20260106,0,0,1,200021732,20250606,0,0,0,0
